Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_7,dock_availability_7,bike_availability_478,dock_availability_478,bike_availability_545,dock_availability_545,availability,dock_availability
2022-06-09 08:00:00+00:00,0.0,12.8,0.8,2,3,3,8,False,2.0,0.9880555555555556,0.9880555555555556,0.2799999999999999,0.3044444444444444,0.9880555555555556,0.9880555555555556,0.7309027777777778,0.9880555555555556
2022-06-09 09:00:00+00:00,0.0,14.8,1.0,2,2,3,9,False,3.0,0.6588888888888889,0.3088888888888889,0.3536111111111111,0.3386111111111111,0.9938888888888888,0.9938888888888888,0.4480555555555555,0.7074999999999999
2022-06-09 10:00:00+00:00,0.0,15.9,1.6,2,3,3,10,False,2.0,0.5227777777777777,0.0694444444444444,0.0677777777777777,0.06,0.9838888888888888,0.9838888888888888,0.3556249999999999,0.0991666666666666
2022-06-09 11:00:00+00:00,0.0,17.7,1.8,2,3,3,11,False,3.0,0.8788888888888888,0.8163888888888888,0.1372222222222222,0.145,0.964722222222222,0.964722222222222,0.5460416666666665,0.964722222222222
2022-06-09 12:00:00+00:00,0.0,19.7,2.3,2,5,3,12,False,3.0,0.9922222222222224,0.9922222222222224,0.9922222222222224,0.9922222222222224,0.9922222222222224,0.9922222222222224,0.8806944444444446,0.9922222222222224
2022-06-09 13:00:00+00:00,0.0,19.7,3.2,3,6,3,13,False,5.0,0.992222222222222,0.992222222222222,0.5522222222222222,0.5375,0.992222222222222,0.992222222222222,0.521111111111111,0.992222222222222
2022-06-09 14:00:00+00:00,0.0,21.0,2.2,3,11,3,14,False,6.0,0.9916666666666664,0.9916666666666664,0.2327777777777777,0.226111111111111,0.9916666666666664,0.9916666666666664,0.6323611111111109,0.9916666666666664
2022-06-09 15:00:00+00:00,0.0,20.6,2.8,3,5,3,15,False,11.0,0.9822222222222224,0.9822222222222224,0.4108333333333333,0.4188888888888888,0.9822222222222224,0.9822222222222224,0.6273611111111113,0.8716666666666668
2022-06-09 16:00:00+00:00,0.0,20.4,3.5,3,7,3,16,False,5.0,0.9827777777777774,0.9827777777777774,0.9827777777777774,0.9827777777777774,0.9827777777777774,0.9827777777777774,0.2755555555555554,0.0
2022-06-09 17:00:00+00:00,0.0,19.5,3.7,3,1,3,17,False,7.0,0.9877777777777774,0.9877777777777774,0.9877777777777774,0.9877777777777774,0.9877777777777774,0.9877777777777774,0.7910416666666664,0.5386111111111112
2022-06-09 18:00:00+00:00,0.0,17.9,2.7,3,3,3,18,False,1.0,0.9941666666666668,0.9941666666666668,0.9941666666666668,0.9941666666666668,0.9941666666666668,0.9941666666666668,0.7473611111111111,0.5561111111111111
2022-06-09 19:00:00+00:00,0.0,15.8,1.5,1,2,3,19,False,3.0,0.9858333333333336,0.9858333333333336,0.9858333333333336,0.9858333333333336,0.9858333333333336,0.9858333333333336,0.7491666666666668,0.0163888888888888
2022-06-09 20:00:00+00:00,0.0,13.9,0.5,1,1,3,20,False,2.0,0.9841666666666667,0.9841666666666667,0.9841666666666667,0.9841666666666667,0.9841666666666667,0.9841666666666667,0.738125,0.0
2022-06-09 21:00:00+00:00,0.0,12.3,1.6,1,3,3,21,False,1.0,0.9694444444444446,0.9694444444444446,0.9694444444444446,0.9694444444444446,0.9694444444444446,0.9694444444444446,0.7270833333333334,0.0
2022-06-09 22:00:00+00:00,0.0,11.5,1.8,1,0,3,22,False,3.0,0.992777777777778,0.992777777777778,0.992777777777778,0.992777777777778,0.992777777777778,0.992777777777778,0.8971527777777779,0.6255555555555555
2022-06-09 23:00:00+00:00,0.0,11.1,2.3,1,0,3,23,False,0.0,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556
2022-06-10 00:00:00+00:00,0.0,10.8,2.2,8,0,4,0,False,0.0,0.9855555555555556,0.9855555555555556,0.9855555555555556,0.9855555555555556,0.9855555555555556,0.9855555555555556,0.9855555555555556,0.9855555555555556
2022-06-10 01:00:00+00:00,0.0,10.2,2.0,8,0,4,1,False,0.0,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
2022-06-10 02:00:00+00:00,0.0,9.5,1.3,8,0,4,2,False,0.0,0.9844444444444448,0.9844444444444448,0.9844444444444448,0.9844444444444448,0.9844444444444448,0.9844444444444448,0.9844444444444448,0.9844444444444448
2022-06-10 03:00:00+00:00,0.0,8.9,2.5,8,0,4,3,False,0.0,0.9980555555555558,0.9980555555555558,0.9980555555555558,0.9980555555555558,0.9980555555555558,0.9980555555555558,0.9980555555555558,0.9980555555555558
2022-06-10 04:00:00+00:00,0.0,8.0,2.9,8,0,4,4,False,0.0,0.9980555555555558,0.9980555555555558,0.9980555555555558,0.9980555555555558,0.9980555555555558,0.9980555555555558,0.9980555555555558,0.9980555555555558
2022-06-10 05:00:00+00:00,0.0,7.3,2.1,8,3,4,5,False,0.0,0.985277777777778,0.985277777777778,0.985277777777778,0.985277777777778,0.985277777777778,0.985277777777778,0.985277777777778,0.985277777777778
2022-06-10 06:00:00+00:00,0.0,7.6,1.2,8,4,4,6,False,3.0,0.9844444444444442,0.9844444444444442,0.9844444444444442,0.9844444444444442,0.9844444444444442,0.9844444444444442,0.9844444444444442,0.9844444444444442
2022-06-10 07:00:00+00:00,0.0,6.4,1.9,3,0,4,7,False,4.0,0.997222222222222,0.997222222222222,0.6083333333333334,0.5947222222222223,0.997222222222222,0.997222222222222,0.997222222222222,0.997222222222222
2022-06-10 08:00:00+00:00,0.0,9.9,3.3,3,3,4,8,False,0.0,0.9980555555555556,0.9980555555555556,0.0852777777777777,0.0458333333333333,0.9980555555555556,0.9980555555555556,0.9028472222222222,0.8969444444444443
2022-06-10 09:00:00+00:00,0.0,10.0,3.6,3,2,4,9,False,3.0,0.9708333333333334,0.9708333333333334,0.1475,0.1086111111111111,0.9708333333333334,0.9708333333333334,0.7281250000000001,0.9708333333333334
2022-06-10 10:00:00+00:00,0.0,10.5,3.9,7,3,4,10,False,2.0,0.9833333333333336,0.9833333333333336,0.5983333333333334,0.6130555555555556,0.9833333333333336,0.9833333333333336,0.909791666666667,0.9833333333333336
2022-06-10 11:00:00+00:00,0.0,11.1,4.3,7,2,4,11,False,3.0,0.7343055555555557,0.4611111111111112,0.9905555555555556,0.9905555555555556,0.9905555555555556,0.9905555555555556,0.9905555555555556,0.9905555555555556
2022-06-10 12:00:00+00:00,0.0,11.9,3.5,7,3,4,12,False,2.0,0.5412499999999999,0.1124999999999999,0.4380555555555556,0.4022222222222222,0.9847222222222222,0.9847222222222222,0.9847222222222222,0.9847222222222222
2022-06-10 13:00:00+00:00,0.0,13.8,5.2,3,8,4,13,False,3.0,0.8143055555555554,0.6811111111111111,0.2972222222222221,0.3747222222222223,0.9855555555555552,0.9855555555555552,0.9855555555555552,0.9855555555555552
2022-06-10 14:00:00+00:00,0.0,13.6,5.9,3,4,4,14,False,8.0,0.6113888888888888,0.2213888888888888,0.31,0.3241666666666666,0.9866666666666666,0.9866666666666666,0.7366666666666666,0.3383333333333333
2022-06-10 15:00:00+00:00,0.0,15.1,9.1,3,6,4,15,False,4.0,0.6497222222222221,0.3227777777777777,0.2091666666666667,0.2019444444444444,0.9816666666666666,0.9816666666666666,0.7104166666666666,0.5580555555555554
2022-06-10 16:00:00+00:00,0.0,13.7,7.9,2,7,4,16,False,6.0,0.6031944444444444,0.2472222222222222,0.8927777777777779,0.9497222222222222,0.9888888888888888,0.9888888888888888,0.5021527777777778,0.9888888888888888
2022-06-10 17:00:00+00:00,0.0,12.5,5.3,2,13,4,17,False,7.0,0.6006944444444442,0.2219444444444444,0.5980555555555552,0.5983333333333329,0.9808333333333328,0.9808333333333328,0.6615972222222218,0.9808333333333328
2022-06-10 18:00:00+00:00,0.0,11.5,4.4,2,1,4,18,False,13.0,0.8106944444444444,0.6591666666666665,0.455,0.4491666666666666,0.9855555555555556,0.9855555555555556,0.8610416666666667,0.9855555555555556
2022-06-10 19:00:00+00:00,0.0,11.5,4.6,2,2,4,19,False,1.0,0.9911111111111108,0.9911111111111108,0.4302777777777777,0.4599999999999999,0.9911111111111108,0.9911111111111108,0.9445833333333332,0.9911111111111108
2022-06-10 20:00:00+00:00,0.0,10.8,5.0,2,4,4,20,False,2.0,0.9805555555555554,0.9805555555555554,0.7630555555555554,0.7552777777777776,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554
2022-06-10 21:00:00+00:00,0.0,10.8,5.2,2,2,4,21,False,4.0,0.5404166666666668,0.980277777777778,0.980277777777778,0.980277777777778,0.1005555555555555,0.0858333333333333,0.980277777777778,0.980277777777778
2022-06-10 22:00:00+00:00,0.0,10.0,3.6,2,2,4,22,False,2.0,0.496388888888889,0.992777777777778,0.911388888888889,0.9266666666666667,0.0,0.0,0.9722916666666668,0.992777777777778
2022-06-10 23:00:00+00:00,0.0,9.7,3.2,2,0,4,23,False,2.0,0.4990277777777778,0.9980555555555556,0.8430555555555554,0.8213888888888888,0.0,0.0,0.9980555555555556,0.9980555555555556
2022-06-11 00:00:00+00:00,0.0,4.2,1.3,3,0,5,0,False,0.0,0.4954166666666668,0.9908333333333336,0.0,0.0,0.0,0.0,0.9908333333333336,0.9908333333333336
2022-06-11 01:00:00+00:00,0.0,4.6,0.8,3,0,5,1,False,0.0,0.4919444444444446,0.9838888888888891,0.0,0.0,0.0,0.0,0.7553472222222224,0.9838888888888891
2022-06-11 02:00:00+00:00,0.0,5.0,0.2,3,0,5,2,False,0.0,0.4906944444444444,0.9813888888888888,0.0,0.0,0.0,0.0,0.7360416666666666,0.9813888888888888
2022-06-11 03:00:00+00:00,0.0,5.1,1.6,3,2,5,3,False,0.0,0.4954166666666668,0.9908333333333336,0.0,0.0,0.0,0.0,0.7431250000000001,0.9908333333333336
2022-06-11 04:00:00+00:00,0.4,5.2,0.9,3,0,5,4,False,2.0,0.4926388888888889,0.9852777777777778,0.0,0.0,0.0,0.0,0.7389583333333334,0.9852777777777778
2022-06-11 05:00:00+00:00,0.3,5.4,2.3,3,0,5,5,False,0.0,0.4908333333333334,0.9816666666666668,0.0505555555555555,0.0430555555555555,0.0,0.0,0.8566666666666668,0.9816666666666668
2022-06-11 06:00:00+00:00,1.4,5.7,2.8,3,1,5,6,False,0.0,0.4959722222222222,0.9919444444444444,0.0,0.0,0.0,0.0,0.7773611111111111,0.9919444444444444
2022-06-11 07:00:00+00:00,2.1,5.9,3.0,8,2,5,7,False,1.0,0.6181944444444444,0.9891666666666666,0.5722222222222222,0.5869444444444444,0.2472222222222221,0.2905555555555555,0.8470833333333333,0.9891666666666666
2022-06-11 08:00:00+00:00,2.4,6.5,2.7,8,1,5,8,False,2.0,0.9686111111111112,0.9686111111111112,0.9686111111111112,0.9686111111111112,0.9686111111111112,0.9686111111111112,0.9686111111111112,0.9686111111111112
2022-06-11 09:00:00+00:00,0.4,6.9,2.4,8,9,5,9,False,1.0,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
2022-06-11 10:00:00+00:00,0.0,7.2,3.3,7,3,5,10,False,9.0,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444
2022-06-11 11:00:00+00:00,0.0,7.8,0.8,7,1,5,11,False,3.0,0.9847222222222224,0.9847222222222224,0.9847222222222224,0.9847222222222224,0.9847222222222224,0.9847222222222224,0.9847222222222224,0.9847222222222224
2022-06-11 12:00:00+00:00,0.0,8.2,1.1,7,5,5,12,False,1.0,0.985,0.985,0.31,0.3369444444444444,0.985,0.985,0.985,0.985
2022-06-11 13:00:00+00:00,0.0,9.4,1.3,6,2,5,13,False,5.0,0.9863888888888884,0.9863888888888884,0.7649999999999999,0.7047222222222221,0.9863888888888884,0.9863888888888884,0.9863888888888884,0.9863888888888884
2022-06-11 14:00:00+00:00,0.0,9.2,2.8,6,1,5,14,False,2.0,0.9877777777777778,0.9877777777777778,0.6011111111111113,0.563888888888889,0.9877777777777778,0.9877777777777778,0.9877777777777778,0.9877777777777778
2022-06-11 15:00:00+00:00,0.0,8.1,2.7,6,1,5,15,False,1.0,0.982222222222222,0.982222222222222,0.0,0.0,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222
2022-06-11 16:00:00+00:00,0.0,7.8,2.2,8,4,5,16,False,1.0,0.967222222222222,0.967222222222222,0.466388888888889,0.496388888888889,0.967222222222222,0.967222222222222,0.967222222222222,0.967222222222222
2022-06-11 17:00:00+00:00,0.0,7.7,2.1,8,1,5,17,False,4.0,0.9719444444444444,0.9719444444444444,0.9719444444444444,0.9719444444444444,0.9719444444444444,0.9719444444444444,0.9719444444444444,0.9719444444444444
2022-06-11 18:00:00+00:00,0.0,7.7,1.0,8,3,5,18,False,1.0,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556
2022-06-11 19:00:00+00:00,0.0,7.2,1.5,7,0,5,19,False,3.0,0.9891666666666666,0.9891666666666666,0.9891666666666666,0.9891666666666666,0.9891666666666666,0.9891666666666666,0.9891666666666666,0.9891666666666666
2022-06-11 20:00:00+00:00,0.0,6.5,0.5,7,0,5,20,False,0.0,0.9927777777777776,0.9927777777777776,0.9927777777777776,0.9927777777777776,0.9927777777777776,0.9927777777777776,0.9927777777777776,0.9927777777777776
2022-06-11 21:00:00+00:00,0.0,7.0,1.4,7,0,5,21,False,0.0,0.9661111111111113,0.9661111111111113,0.9661111111111113,0.9661111111111113,0.9661111111111113,0.9661111111111113,0.9661111111111113,0.9661111111111113
2022-06-11 22:00:00+00:00,0.0,6.9,1.1,8,0,5,22,False,0.0,0.986111111111111,0.986111111111111,0.986111111111111,0.986111111111111,0.986111111111111,0.986111111111111,0.986111111111111,0.986111111111111
2022-06-11 23:00:00+00:00,0.0,6.9,1.2,8,0,5,23,False,0.0,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888
